,longitude,latitude,mineral_type,mineral_grade,institution,city,province,object_name,hypotherical_resource,inferred_resource,indicated_resource,measured_resource,total_resource,probable_reserve,proven_reserve,total_reserve,units,year_measured
,116.107206,0.534906,Batubara,Rendah (< 5100),Swasta,Kutai Kartanegara,Kalimantan Timur,Batubara Muara Ritan 2,0,0,23.7,297.8,321.5,3,67.2,70.2,Juta Ton,2022
,116.13824,0.394648,Batubara,Rendah (< 5100),Swasta,Kutai Kartanegara,Kalimantan Timur,Batubara Long Lala,0,0.19,4.04,7.346,11.576,8.074,52.25,60.324,Juta Ton,2022
,117.201977,-0.797693,Batubara,Rendah (< 5100),Swasta,Kutai Kartanegara,Kalimantan Timur,Batubara Purwajaya 1,0,0.6,4.483,6.995,12.078,2.13,0.737,2.867,Juta Ton,2022
,115.767752,-0.492865,Batubara,Rendah (< 5100),Swasta,Kutai Barat,Kalimantan Timur,Batubara Lotaq 1,0,7.524,4.943,3.989,16.456,2.32,0,2.32,Juta Ton,2022
,117.093485,-0.698297,Batubara,Rendah (< 5100),Swasta,Kutai Kartanegara,Kalimantan Timur,Batubara Tani Bhakti,0,88.1,10.2,68.4,166.7,3.7,20,23.7,Juta Ton,2022
,117.219762,-0.622035,Batubara,Rendah (< 5100),Swasta,Kota Samarinda,Kalimantan Timur,Batubara Pedingin 3,0,0.17,3.76,0.88,4.81,3.98,0.85,4.83,Juta Ton,2022
,116.182983,-1.655484,Batubara,Rendah (< 5100),Swasta,Paser,Kalimantan Timur,Batubara Samuntai,0,0.972901,0.786702,0.56,2.319603,0.169615,0.14,0.309615,Juta Ton,2022
,116.176695,-2.0893,Batubara,Rendah (< 5100),Swasta,Paser,Kalimantan Timur,Batubara Sungai Apar Kecil,0,0.01,1.55,0.22,1.78,0.32,0.05,0.37,Juta Ton,2022
,116.437508,0.695277,Batubara,Rendah (< 5100),Swasta,Kutai Timur,Kalimantan Timur,Batubara Long Tesak 1,0,8.149,2.42,1.096,11.665,0,0,0,Juta Ton,2022
,116.575721,0.722957,Batubara,Rendah (< 5100),Swasta,Kutai Timur,Kalimantan Timur,Batubara Long Pejeng,0,85.46,74.2,181.8,341.46,32,0,32,Juta Ton,2022
,116.167736,-2.049832,Batubara,Rendah (< 5100),Swasta,Paser,Kalimantan Timur,Batubara Tanah Grogot,0,4.533951,4.182522,3.957761,12.674234,3.33938,2.81907,6.15845,Juta Ton,2022
,116.157262,0.488912,Batubara,Rendah (< 5100),Swasta,Kutai Kartanegara,Kalimantan Timur,Batubara Long Lalang 2,0,238,150,282,670,152.58,221.5,374.08,Juta Ton,2022
,117.065106,-0.692871,Batubara,Rendah (< 5100),Swasta,Kutai Kartanegara,Kalimantan Timur,Batubara Batuah 3,0,0.34,5.47,33.43,39.24,0,7.32,7.32,Juta Ton,2022
,117.0234,-0.941904,Batubara,Rendah (< 5100),Swasta,Kutai Kartanegara,Kalimantan Timur,Batubara Bukit Merdeka 1,0,25.597374,16.830728,13.62,56.048102,0,0,0,Juta Ton,2022
